Employee Name,Client Name,time,rating,comment
"Leon, Patrick","Torres, Robert",6/10/21,1,Needs to improve on punctuality for meetings.
"Olson, Andrea","Cox, Megan",2/23/22,2,Disappointed with the lack of follow-up.
"Wilcox, Frank","Flores, Ryan",9/27/23,8,Fantastic! Made the process easy and enjoyable.
"Garcia, Christopher","Rojas, Kim",3/29/24,3,Disappointed with the lack of follow-up.
"Turner, Cynthia","Williams, Kimberly",9/6/23,10,"Great experience, very helpful!"
"Cameron, Katie","Parker, Brandy",9/30/22,3,Needs to improve on punctuality for meetings.
"Sims, Roberto","Adams, Cody",4/11/23,8,Very professional and knowledgeable.
"Thomas, Kenneth","Hernandez, Cheryl",9/21/23,8,Fantastic! Made the process easy and enjoyable.
"Johnson, Angelica","Daniels, Lauren",3/13/23,2,Disappointed with the lack of follow-up.
"Watson, Samantha","Dennis, Alyssa",10/8/22,8,"Excellent service, went above and beyond!"
"Lewis, Kara","Foley, William",1/30/24,1,Needs to improve on punctuality for meetings.
"Davis, Craig","Horton, Sarah",7/10/22,6,"Very polite and professional, but the process was slow."
"Smith, Joshua","Ramirez, Daniel",10/12/22,8,Very professional and knowledgeable.
"Lowery, Michael","Johnson, Dustin",11/19/21,3,Needs to improve on punctuality for meetings.
"Mata, Miranda","Gill, Melissa",9/30/23,8,"Excellent service, went above and beyond!"
"Davis, Ashley","Green, James",5/24/22,1,Needs to improve on punctuality for meetings.
"Howard, Katherine","Mcdaniel, Jeffrey",3/5/23,9,"Great experience, very helpful!"
"Clements, Derek","Bruce, Chris",6/5/22,9,"Excellent service, went above and beyond!"
"Gray, Christina","Johnston, Beth",4/29/24,5,"Very polite and professional, but the process was slow."
"White, Gregory","Harris, Jacqueline",5/16/23,10,Fantastic! Made the process easy and enjoyable.
"Cruz, Pamela","Ochoa, Maria",10/19/22,4,"Very polite and professional, but the process was slow."
"White, Gregory","Guerrero, Lori",4/11/22,6,Could be more responsive to queries.
"Barnes, Michael","Henry, Kevin",10/31/22,7,Very professional and knowledgeable.
"Walsh, Timothy","Riley, Cody",10/22/21,5,"Very polite and professional, but the process was slow."
"Hines, Monica","Griffin, Jason",9/15/21,10,"Great experience, very helpful!"
"Kane, Diana","Collins, Zachary",5/10/23,9,Fantastic! Made the process easy and enjoyable.
"Hopkins, Andrew","Aguilar, James",11/22/21,3,Disappointed with the lack of follow-up.
"Barrett, Joy","Gonzalez, Richard",12/10/21,7,Fantastic! Made the process easy and enjoyable.
"Mccann, Wendy","Griffin, Kevin",1/23/24,10,"Great experience, very helpful!"
"Obrien, Stephanie","Johnson, Melissa",7/8/22,10,Very professional and knowledgeable.
"Bradley, Michael","Evans, Daniel",2/15/22,5,Could use more detail in the explanations provided.
"Cruz, Connie","White, Ryan",11/3/23,7,"Excellent service, went above and beyond!"
"Shaw, Thomas","Gardner, Ashley",1/24/23,2,Disappointed with the lack of follow-up.
"Patton, Colton","Green, Karen",9/17/21,4,Could use more detail in the explanations provided.
"Wise, David","Harris, Joshua",4/7/23,2,Disappointed with the lack of follow-up.
"Murillo, Lydia","Morrison, Timothy",3/19/23,7,"Great experience, very helpful!"
"Tanner, Sean","Moore, Harold",2/28/23,2,Disappointed with the lack of follow-up.
"Parker, Stephanie","Smith, Scott",11/30/22,1,Disappointed with the lack of follow-up.
"Collins, Briana","Adams, Emily",9/26/23,9,Very professional and knowledgeable.
"Shaffer, Jacqueline","Carlson, William",3/6/24,1,Needs to improve on punctuality for meetings.
"Ross, Patricia","Daniels, Lauren",2/2/22,8,"Excellent service, went above and beyond!"
"Cordova, Virginia","Quinn, Brian",12/17/22,2,Disappointed with the lack of follow-up.
"Williams, Kristy","Richards, Brittany",4/30/24,8,"Excellent service, went above and beyond!"
"Coffey, Patrick","Huber, Kyle",12/10/21,3,Disappointed with the lack of follow-up.
