Name,Email,Phone Number,Street,State,Zip Code,Client Type,Preferred Home Type,Preferred Number of Bedrooms,Preferred Number of Bathrooms,Preferred Square Footage,Preferred School Rating,Assigned Employee
"Melton, Ashley",ashley.melton@example.com,6076274707,549 Nguyen Underpass Suite 698,NY,13309,buyer,condo,5,3,2775,5,"Tanner, Sean"
"Cooley, Melissa",melissa.cooley@example.com,292-810-9738,44362 Dennis Hill,CT,6205,buyer,single house,1,1,1812,6,"Mcguire, Jeanette"
"Gibbs, Angela",angela.gibbs@example.com,001-766-553-7400,9515 Joseph Manor Apt. 900,NY,10370,owner,,,,,,"Davis, Ashley"
"Gardner, Jasmine",jasmine.gardner@example.com,535.355.1974x252,273 Bernard Ports Apt. 062,NJ,8790,renter,condo,5,2,2498,2,"Rios, Mary"
"Castro, Charles",charles.castro@example.com,511.384.1001x42377,45976 Stone Squares Apt. 678,NY,14496,owner,,,,,,"Rios, Mary"
"Ayers, Thomas",thomas.ayers@example.com,(379)619-5723x70028,8333 Anthony Tunnel,CT,6131,owner,,,,,,"Barnes, Michael"
"Simpson, Stephanie",stephanie.simpson@example.com,787-958-1387x73618,37492 Donna Prairie Suite 751,NY,14202,seller,,,,,,"Diaz, Bianca"
"Miles, Marc",marc.miles@example.com,610.437.2697x311,0346 Daniel Haven Apt. 494,CT,6003,renter,condo,2,3,2885,4,"Mata, Miranda"
"Mcclain, Vanessa",vanessa.mcclain@example.com,001-364-298-5477x847,878 Trevino Gardens Suite 566,NY,12544,buyer,townhouse,2,2,1515,4,"Roman, Gabriela"
"Lopez, Maria",maria.lopez@example.com,678-368-4708x038,507 Booker Harbor Apt. 093,NY,13024,renter,townhouse,5,2,1743,5,"Cordova, Virginia"
"Townsend, Ricky",ricky.townsend@example.com,+1-213-296-0000x476,9807 Victor Locks Apt. 084,CT,6370,owner,,,,,,"Lowery, Michael"
"Ramirez, Daniel",daniel.ramirez@example.com,7652816292,62810 Estrada Radial Suite 245,NJ,7402,seller,,,,,,"Bradley, Michael"
"Simmons, Barry",barry.simmons@example.com,(360)633-7882x150,921 Lee Port Suite 554,NJ,7180,owner,,,,,,"Lewis, Kara"
"Brown, Jerry",jerry.brown@example.com,879.243.3794x748,8269 Weeks Springs Suite 765,CT,6246,buyer,apartment,3,1,2060,8,"Norris, Joshua"
"Torres, Robert",robert.torres@example.com,(453)764-2524x2089,3441 Murray Villages,NY,11425,owner,,,,,,"Simpson, Christina"
"Thompson, Brandon",brandon.thompson@example.com,448.966.6599x08878,8064 Anthony Park Apt. 239,NY,11482,renter,apartment,1,3,1892,4,"Johnson, Angelica"
"Delgado, William",william.delgado@example.com,001-999-887-2260x9141,27026 Ryan Loop,NY,10570,buyer,townhouse,3,2,3471,10,"Munoz, Paul"
"Howard, Peggy",peggy.howard@example.com,602.711.1731x83615,0309 Austin Spring Apt. 670,NY,10991,seller,,,,,,"Gray, Christina"
"Thompson, Robert",robert.thompson@example.com,(912)465-5085x38520,70574 Christensen Light,NJ,7088,owner,,,,,,"Bright, Robert"
"Miller, Michael",michael.miller@example.com,(558)355-1201x2715,73090 Williams Curve Apt. 140,CT,6139,renter,townhouse,4,2,1414,1,"Barry, Megan"
"Johnson, Connie",connie.johnson@example.com,(578)727-2852,240 Black Lodge,NY,14151,buyer,townhouse,3,1,2386,7,"Walker, Aaron"
"Dalton, Linda",linda.dalton@example.com,520-380-5578,825 George Grove Suite 119,CT,6353,seller,,,,,,"Roman, Gabriela"
"Alexander, Robert",robert.alexander@example.com,001-694-685-5444x44877,80821 Dennis Mission Suite 191,CT,6243,renter,single house,2,3,2315,6,"Gomez, Shannon"
"Hogan, Catherine",catherine.hogan@example.com,943-944-3104,68572 Johnson Rest,NJ,8348,buyer,condo,1,3,903,4,"Parker, Stephanie"
"Aguilar, James",james.aguilar@example.com,001-775-597-9296,7523 Smith Green Apt. 177,NY,12964,renter,apartment,5,1,3239,8,"Miller, Danielle"
"Austin, Jennifer",jennifer.austin@example.com,334-714-0879x35065,569 Jimmy Forest,CT,6303,renter,condo,4,3,2954,7,"Clements, Derek"
"Craig, Scott",scott.craig@example.com,9745046238,7752 Campbell Lakes,NJ,8313,renter,apartment,2,1,3495,10,"Evans, Christina"
"Harris, Julie",julie.harris@example.com,-7843,713 Davis Street Suite 794,NJ,7218,renter,single house,1,1,1245,6,"Klein, Brian"
"Simmons, Brandon",brandon.simmons@example.com,001-716-660-2866x887,67663 Garcia Skyway,CT,6149,buyer,single house,5,2,1141,8,"Roman, Gabriela"
"Nichols, Erika",erika.nichols@example.com,001-346-661-8538x69947,849 Porter Vista,NJ,8827,seller,,,,,,"Turner, Cynthia"
"Cross, Rebecca",rebecca.cross@example.com,(617)718-3490x53351,54648 Taylor Square,NJ,8052,seller,,,,,,"Ross, Molly"
"Wagner, Kevin",kevin.wagner@example.com,001-616-544-2944x357,7577 Jones Lakes,NY,12433,renter,apartment,1,1,1744,8,"Obrien, Stephanie"
"Jones, Anthony",anthony.jones@example.com,(776)673-7240,20802 Scott Ford Suite 371,CT,6083,owner,,,,,,"Gibbs, Anthony"
"Morgan, Deanna",deanna.morgan@example.com,+1-867-772-8626x78625,243 Hicks Unions,CT,6267,owner,,,,,,"Wilcox, Frank"
"Evans, Brittany",brittany.evans@example.com,+1-746-853-9123x56845,4203 Jonathan Ranch Apt. 196,CT,6074,seller,,,,,,"Hughes, Jennifer"
"Garcia, Lisa",lisa.garcia@example.com,594-204-2837,033 Johnson Heights Apt. 626,NJ,7880,buyer,single house,2,3,2762,8,"Garrett, Raymond"
"Terrell, Joseph",joseph.terrell@example.com,+1-400-546-2811x359,197 Lisa Course Suite 763,NJ,7072,seller,,,,,,"Wood, Maria"
"Morton, John",john.morton@example.com,846.665.2802,278 Velasquez Trail,CT,6272,renter,condo,3,1,1660,1,"Mcgrath, Alison"
"Owens, Lori",lori.owens@example.com,669.303.5714x65837,7270 Kenneth Way,NY,11137,owner,,,,,,"Gibbs, Anthony"
"Pacheco, Christopher",christopher.pacheco@example.com,001-767-749-8960,359 Robert Neck,NY,14591,seller,,,,,,"Coffey, Patrick"
"Robbins, Steven",steven.robbins@example.com,4555608904,283 Gutierrez Flat Suite 912,NJ,8267,buyer,townhouse,3,1,2114,5,"Wood, Katelyn"
"Gill, Jacob",jacob.gill@example.com,+1-804-708-1774x8782,7748 Petty Bypass,CT,6194,owner,,,,,,"Evans, Christina"
"Haney, Tracey",tracey.haney@example.com,447-415-5975,1912 Virginia Via Suite 422,NJ,8779,renter,townhouse,2,1,3194,1,"Lee, Melissa"
"Adams, Jason",jason.adams@example.com,001-607-505-5245,70778 Derek Glens Apt. 489,CT,6301,seller,,,,,,"Sims, Roberto"
"Bradley, Susan",susan.bradley@example.com,001-673-990-7134x68220,53283 Scott Walk,CT,6271,buyer,townhouse,1,3,1954,0,"Bright, Robert"
"Gonzalez, Richard",richard.gonzalez@example.com,001-404-231-0244x839,36672 Hansen Burg,CT,6046,seller,,,,,,"Galvan, Alyssa"
