Full Name,Email,Date of Hire,Base Salary,Office Name,Manager Name
"Klein, Brian",brian.klein@dreamhomes.nyc,2023-09-19,87173.68,Dream Homes Albany,"Klein, Brian"
"Brown, Ryan",ryan.brown@dreamhomes.nyc,2024-02-11,82936.13,Dream Homes Hartford,"Klein, Brian"
"Coffey, Patrick",patrick.coffey@dreamhomes.nyc,2023-01-20,36539.21,Dream Homes Bridgeport,"Brown, Ryan"
"Watson, Samantha",samantha.watson@dreamhomes.nyc,2023-02-16,80046.93,Dream Homes Albany,"Klein, Brian"
"Howard, Katherine",katherine.howard@dreamhomes.nyc,2023-10-12,49379.1,Dream Homes New York,"Brown, Ryan"
"Adams, Ashley",ashley.adams@dreamhomes.nyc,2024-04-04,55138.43,Dream Homes Bridgeport,"Watson, Samantha"
"Wood, Katelyn",katelyn.wood@dreamhomes.nyc,2024-02-01,36069.72,Dream Homes Bridgeport,"Watson, Samantha"
"Perry, Cynthia",cynthia.perry@dreamhomes.nyc,2023-11-20,48085.76,Dream Homes Hartford,"Wood, Katelyn"
"Meyer, Valerie",valerie.meyer@dreamhomes.nyc,2024-04-13,50293.62,Dream Homes Bridgeport,"Perry, Cynthia"
"Diaz, Bianca",bianca.diaz@dreamhomes.nyc,2022-10-08,90096.57,Dream Homes Paterson,"Coffey, Patrick"
"Gibbs, Anthony",anthony.gibbs@dreamhomes.nyc,2024-04-10,66460.54,Dream Homes Newark,"Adams, Ashley"
"Parker, Stephanie",stephanie.parker@dreamhomes.nyc,2024-01-07,87195.61,Dream Homes Rochester,"Klein, Brian"
"Zimmerman, Melissa",melissa.zimmerman@dreamhomes.nyc,2021-09-15,51564.55,Dream Homes Syracuse,"Howard, Katherine"
"Tanner, Sean",sean.tanner@dreamhomes.nyc,2023-09-14,105221.15,Dream Homes Bridgeport,"Perry, Cynthia"
"Bradley, Michael",michael.bradley@dreamhomes.nyc,2023-05-25,103571.38,Dream Homes Hartford,"Brown, Ryan"
"Cruz, Connie",connie.cruz@dreamhomes.nyc,2022-12-12,112382.92,Dream Homes Syracuse,"Adams, Ashley"
"Lewis, Kara",kara.lewis@dreamhomes.nyc,2023-10-09,93913.04,Dream Homes Syracuse,"Klein, Brian"
"Romero, Diane",diane.romero@dreamhomes.nyc,2024-04-13,61843.18,Dream Homes Trenton,"Diaz, Bianca"
"Andrews, Faith",faith.andrews@dreamhomes.nyc,2023-04-12,114194.73,Dream Homes Newark,"Wood, Katelyn"
"Paul, Ashley",ashley.paul@dreamhomes.nyc,2023-07-21,43680.33,Dream Homes Stamford,"Tanner, Sean"
"Barry, Megan",megan.barry@dreamhomes.nyc,2021-12-08,83955.05,Dream Homes Trenton,"Bradley, Michael"
"Munoz, Paul",paul.munoz@dreamhomes.nyc,2023-01-15,58515.95,Dream Homes Syracuse,"Adams, Ashley"
"Smith, Joshua",joshua.smith@dreamhomes.nyc,2024-03-11,96288.91,Dream Homes Hartford,"Coffey, Patrick"
"Lopez, Katherine",katherine.lopez@dreamhomes.nyc,2024-02-10,91736.56,Dream Homes Bridgeport,"Adams, Ashley"
"Collier, James",james.collier@dreamhomes.nyc,2024-01-10,110836.79,Dream Homes Paterson,"Gibbs, Anthony"
"Davis, Ashley",ashley.davis@dreamhomes.nyc,2024-03-28,47672.39,Dream Homes Jersey City,"Collier, James"
"Campbell, Christopher",christopher.campbell@dreamhomes.nyc,2022-06-13,87920.35,Dream Homes Jersey City,"Bradley, Michael"
"Rios, Mary",mary.rios@dreamhomes.nyc,2023-10-10,101611.32,Dream Homes Newark,"Gibbs, Anthony"
"Miller, Danielle",danielle.miller@dreamhomes.nyc,2024-01-01,56338.39,Dream Homes Bridgeport,"Lewis, Kara"
"Mata, Miranda",miranda.mata@dreamhomes.nyc,2022-12-26,117123.48,Dream Homes Syracuse,"Watson, Samantha"
"Morse, Randy",randy.morse@dreamhomes.nyc,2024-03-10,59711.77,Dream Homes Albany,"Cruz, Connie"
"Brennan, Lindsay",lindsay.brennan@dreamhomes.nyc,2024-03-02,113005.13,Dream Homes Bridgeport,"Parker, Stephanie"
"Barrett, Joy",joy.barrett@dreamhomes.nyc,2024-02-20,47937.33,Dream Homes Hartford,"Klein, Brian"
"Davis, Craig",craig.davis@dreamhomes.nyc,2021-11-29,91972.09,Dream Homes Paterson,"Wood, Katelyn"
"Jones, Sarah",sarah.jones@dreamhomes.nyc,2023-10-13,32653.61,Dream Homes Rochester,"Campbell, Christopher"
"Harris, Jennifer",jennifer.harris@dreamhomes.nyc,2023-11-05,67004.68,Dream Homes Albany,"Mata, Miranda"
"Garrett, Raymond",raymond.garrett@dreamhomes.nyc,2024-03-30,31992.48,Dream Homes Trenton,"Harris, Jennifer"
"Taylor, Richard",richard.taylor@dreamhomes.nyc,2023-02-07,43118.66,Dream Homes Trenton,"Klein, Brian"
"Johnson, Angelica",angelica.johnson@dreamhomes.nyc,2022-12-30,103287.07,Dream Homes Albany,"Tanner, Sean"
"Sims, Roberto",roberto.sims@dreamhomes.nyc,2024-02-14,52021.73,Dream Homes Hartford,"Barry, Megan"
"Thomas, Kenneth",kenneth.thomas@dreamhomes.nyc,2024-03-23,37178.75,Dream Homes Albany,"Munoz, Paul"
"Norris, Joshua",joshua.norris@dreamhomes.nyc,2024-02-04,91767.45,Dream Homes Albany,"Mata, Miranda"
"Wood, Maria",maria.wood@dreamhomes.nyc,2021-07-11,64251.85,Dream Homes Syracuse,"Wood, Katelyn"
"Saunders, Kimberly",kimberly.saunders@dreamhomes.nyc,2024-02-13,30028.99,Dream Homes Bridgeport,"Thomas, Kenneth"
"Gonzales, Catherine",catherine.gonzales@dreamhomes.nyc,2024-04-04,93850.74,Dream Homes Bridgeport,"Collier, James"
"Kane, Diana",diana.kane@dreamhomes.nyc,2022-12-12,46910.97,Dream Homes Paterson,"Garrett, Raymond"
"Gomez, Shannon",shannon.gomez@dreamhomes.nyc,2024-03-22,119974.48,Dream Homes New Haven,"Johnson, Angelica"
"Simpson, Christina",christina.simpson@dreamhomes.nyc,2022-12-06,72070.55,Dream Homes Buffalo,"Miller, Danielle"
"Wheeler, Michelle",michelle.wheeler@dreamhomes.nyc,2023-10-14,37712.12,Dream Homes Syracuse,"Klein, Brian"
"Terry, Zachary",zachary.terry@dreamhomes.nyc,2023-04-25,44867.17,Dream Homes Bridgeport,"Wheeler, Michelle"
"Willis, Stephanie",stephanie.willis@dreamhomes.nyc,2023-06-11,110161.91,Dream Homes Hartford,"Barrett, Joy"
"Garcia, Hannah",hannah.garcia@dreamhomes.nyc,2024-01-24,84141.98,Dream Homes Trenton,"Wheeler, Michelle"
"Pham, Karen",karen.pham@dreamhomes.nyc,2024-01-12,34327.66,Dream Homes Syracuse,"Coffey, Patrick"
"Hill, Allen",allen.hill@dreamhomes.nyc,2024-02-11,79907.59,Dream Homes New York,"Lopez, Katherine"
"Turner, Cynthia",cynthia.turner@dreamhomes.nyc,2023-12-13,111674.47,Dream Homes Buffalo,"Gibbs, Anthony"
"Fletcher, Margaret",margaret.fletcher@dreamhomes.nyc,2024-04-11,75730.25,Dream Homes Syracuse,"Simpson, Christina"
"Skinner, Aaron",aaron.skinner@dreamhomes.nyc,2024-03-21,106088.03,Dream Homes Bridgeport,"Howard, Katherine"
"Ross, Molly",molly.ross@dreamhomes.nyc,2023-11-28,102817.48,Dream Homes Albany,"Miller, Danielle"
"Olsen, Ann",ann.olsen@dreamhomes.nyc,2023-12-30,69493.24,Dream Homes Syracuse,"Barry, Megan"
"Shaffer, Jacqueline",jacqueline.shaffer@dreamhomes.nyc,2024-03-31,40580.27,Dream Homes Jersey City,"Taylor, Richard"
"Bright, Robert",robert.bright@dreamhomes.nyc,2023-05-10,95768.93,Dream Homes Paterson,"Wood, Maria"
